Dobrý den. | Добрый день.
Ahoj! | Привет!
Čau! | Привет!
Nazdar! | Привет!
Ráda tě vidím. | Рада тебя видеть.
Jak se máš? | Как дела?
Děkuji, mám se dobře. | Спасибо, у меня все хорошо.
Jmenuju se Eva. | Меня зовут Ева.
Bydlím v Praze | Я живу в Праге
Ty jsi student, nebo pracuješ? | Ты студент или работаешь?
Česky mluvím bohužel málo. | По-чешски я говорю немного, к сожалению.
Španělsky umím dobře. | По-испански я говорю хорошо
To je skvělý nápad! | Отличная идея!
To je škoda. | Жаль.
Ještě ti zavolám. | Я тебе еще позвоню
Chci tě seznámit s... | Хочу тебя познакомить c…
Máte hodně společného. | У вас много общего.
Čeština je podobná ruštině. | Чешский язык похож на русский.
Pracovat ve velké mezinárodní firmě | Работать в крупной международной фирме
Co tomu říkáš? | Что на это скажешь?
Mám zájem o… | Я интересуюсь...
Fajn! | Отлично!
Mít volno | Иметь свободное время
Není zač. | Не за что
Mějte se hezky | Всего хорошего
Víš, kolik je hodin? | Знаешь, который час?
Nevím, zapomněla jsem doma mobil. | Не знаю, я забыла телефон дома.
Vůbec nemám čas. | У меня совершенно нет времени.
Vyučování začíná v 10. | Уроки начинаются в 10 часов
Máš spěchat. | Тебе нужно спешить.
Čekám na tramvaj. | Жду трамвай.
Asi to stihnu včas. | Я должна успеть.
Cesta od domu trvá 30 minut. | Дорога от дома занимает 30 минут.
Kino je v centru města. | Кинотеатр находится в центре города. 
Máš štěstí | Везет тебе.
Můžeme se setkat dřív. | Можем встретиться пораньше.
Tak zatím! | Тогда пока!
Jaký máte telefon? | Какой у вас телефон?
Jaký máte e-mail? | Какой у вас e-mail?
Jaké máte internetové stránky? | Какой у вас сайт?
Co má na sobě? | Во что он одет?
Kolik je ti let? | Сколько тебе лет?
Je mi 20 let | Мне 20 лет.
To se mi líbí. | Мне это нравится.
Kolik to stojí? | Сколько это стоит?
Můžu zaplatit kartou? | Могу заплатить картой?
Mám pro tebe dárek. | У меня есть для тебя подарок.
Vypadáš skvěle! | Выглядишь потрясающе!
Moc ti to sluší. | Тебе очень идет.
Budu potřebovat tvou radu. | Мне будет необходим твой совет.
vstávat brzo | вставать рано
snídat doma | завтракать дома
začít pracovat | начинать работать
odpočívat o víkendu | отдыхать на выходных
zajímat se o politiku | интересоваться политикой
sportovat v tělocvičně | заниматься спортом в спортзале
dívat se na televizi | смотреть телевизор
poslouchat hudbu | слушать музыку
doporučit knihu | порекомендовать книгу
Který film se ti líbí? | Какой фильм тебе нравится
Ty jsi hodná. | Это мило с твоей стороны.
To je pravda. | Это так
To není pravda. | Это не так
Film byl natočen… | Фильм был снят...
jedno z největších filmových studií | одна из самых крупных киностудий
Mají otevřeno každý čtvrtek. | Открыто каждый четверг.
Uvidíme se příští týden | Увидимся на следующей неделе
Je příjemně teplo. | Приятная теплая погода
Není vedro. | Нежарко.
Co rád děláš? | Чем ты любишь заниматься?
Co máš rád? | Что ты любишь?
To je můj velký koníček. | Это мое главное хобби.
Baví mě cizí jazyky. | Я люблю иностранные языки.
poznávat nové lidi | знакомиться с новыми людьми
cestovat do ciziny | путешествовать за рубеж
Líbí se ti Praha? | Тебе нравится Прага?
jezdit na kole | ездить на велосипеде
řídit auto | водить автомобиль
Těším se na víkend. | Жду не дождусь выходных.
Máte volný stůl? | У вас есть свободный стол?
Jídelní lístek, prosím. | Подайте меню, пожалуйста.
Máte vybráno? | Вы уже выбрали?
Co si přejete? | Что желаете?
Dáte si něco k pití? | Возьмете что-нибудь пить?
Rád jím polévku | Я люблю есть суп.
Rád piju mléko. | Rád piju mléko.
Chutná mi čokoláda | Мне нравится шоколад.
Mám chuť na něco sladkého. | Мне хочется чего-нибудь сладкого.
Já si dám ovocný salát. | Я возьму фруктовый салат.
To je všechno. | Это все.
Platit budete dohromady nebo zvlášť? | Будете платить вместе или отдельно?
Můžu zaplatit kartou? | Я могу заплатить картой?
Zaplatím v hotovosti. | Заплачу наличными.
Kdy jsi se narodila? | Когда ты родилась?
Narodil jsem se v roce 1990. | Я родился в 1990 году.
Mám narozeniny v létě. | У меня день рождения летом.
Kolikátého máš narozeniny? | В какой день у тебя день рождения?
Vítám vás. | Приветствую вас.
Jsem ráda, že vás poznávám. | Я рада, что с вами познакомилась.
Chtěla bych ti představit svou kamarádku. | Я хотела бы тебе представить свою подругу.
Jak vypadá tvůj manžel? | Как выглядит твой муж?
Přistěhovali jsme se v zimě. | Мы переехали зимой.
Ještě nemáme všechno zařízeno. | У нас еще не все устроено.
starat se o domácnost | заботиться о домашнем хозяйстве
Hledám levný a malý byt. | Я ищу дешевую и маленькую квартиру.
Abych nezapomněla... | Пока я не забыла...
Promiň. | Извини.
Bohužel se nám to nehodí. | К сожалению, нам это не подходит.
To se mi hodí. | Мне это подходит.
